word,importance
dirty,3.47063764257338
didn,3.2728441247811872
rude,3.0632009550736345
bad,3.017818465594795
cold,2.9439246830640338
broken,2.836935949338284
terrible,2.7147422043479894
noisy,2.6810693014299978
loud,2.6666195537492094
awful,2.4232125362391423
old,2.369965600309128
ignored,2.300129892119002
far,2.267743678770232
uncomfortable,2.261874637455636
messy,2.146722631767436
couldn,2.0920527865895626
poor,2.08271208653992
worst,1.9941188732147022
not_worth,1.9254820573767015
dark,1.9210107240140728
stressful,1.920996558184958
disappointing,1.879717754560118
unhelpful,1.847519176293327
small,1.8200299934952102
outdated,1.7612830519137177
host ignored,1.7549102009082223
boring,1.7440980192313325
not_garden,1.7422482262616317
host refused,1.7220015463942013
refused,1.711224509058986
wrong,1.7016300478098485
dull,1.6385787563452214
not_decoration,1.5757613424397021
unkind,1.510372000332538
different,1.5051509151837832
walls,1.4823603191234953
complicated,1.4817243145277046
hated,1.4812648784960194
confusing,1.4627943082858177
not_view,1.4582380252516944
not_suitable,1.4108990607607184
room dark,1.3877957287013716
horrible,1.3831219964137451
hard,1.3742289468257702
regret,1.3567067305599898
unfriendly,1.3416542896363028
completely,1.3191883602205035
ugly,1.3191813380821205
not_good,1.3041462851588426
not_help,1.2978168617243049
disappointed,1.2908312806079687
overpriced,1.2736318273848306
chaos,1.2640110583852517
bad stay,1.2550315423411629
charged extra,1.2546428861593968
went right,1.2535138391394274
problems,1.2165920589160875
host rude,1.1589644442199463
not_replies,1.1488580444987277
wouldn,1.140268192674777
wouldn recommend,1.140268192674777
expensive,1.1306856392256914
not_coming,1.1302388278747206
not_meet,1.1022199690144814
did not_meet,1.1022199690144814
breakfast cold,1.1021410281275674
breakfast poor,1.0934870311153262
poorly,1.0929693342378841
host didn,1.0701300726639567
kept,1.0683886280155437
staff lazy,1.0621443977758391
not_fresh,1.0460074209699393
not_garden noise,1.0411801387414927
unresponsive,1.0313116973168015
like,1.0294117217681262
host tried,1.0276793394989296
tried,1.0276793394989296
not_again,1.0220526911937922
dismissive,1.0182232481918372
fi slow,1.001876051525231
lazy,0.9951035129431852
messy place,0.9908745622670116
not_answered,0.9868508109900552
stale,0.9817005427620793
forever,0.9782269931091652
frustrating,0.9756183941486548
unpleasant,0.974271396284207
unfairly,0.9741386000674273
fi kept,0.9710612261002228
gave wrong,0.9673494500579353
host late,0.9669004926077791
didn care,0.9652864100177577
went wrong,0.9601383305968726
not_helpful,0.9541258951341315
careless,0.9493956287656471
total,0.9335327247040167
regret booking,0.9236850542880036
booking,0.9236850542880036
host unkind,0.9217575496960704
places,0.9216542732226526
waste,0.9211015800526351
family,0.9171006365787232
damp,0.9131570406938615
properly,0.9067252334529247
work,0.900496186327783
constant,0.8787407416941995
didn meet,0.8724806546053371
meet,0.8724806546053371
check took,0.8669419145400522
disappeared,0.860284774483097
host disappeared,0.860284774483097
chaotic,0.8598678705821444
smelly,0.8582494985262558
host charged,0.8475983347639324
charged,0.8475983347639324
not_fresh towels,0.8466995208413294
horrible experience,0.8445571221234857
not_view just,0.8244422254862418
staff unhelpful,0.8222719367708181
refused help,0.8184246752438504
bad quality,0.8119224323328055
disappointing stay,0.8086261084075117
angry,0.806535317593904
host couldn,0.8063215531340229
completely different,0.8008628390939825
dusty,0.7960669693273424
impatient,0.784455689048302
breakfast limited,0.7757885767578458
room dirty,0.7670553553918559
took forever,0.76299047020755
disorganized,0.7617284396867484
peeling,0.7597921092678623
smelled,0.7554747300136665
moldy,0.7509051075282164
smelled bad,0.7367115257286526
breakfast bad,0.7271469479271364
check slow,0.7249801304715335
fi,0.7186665439237536
meet expectations,0.7184617446709386
tasteless,0.7153168999849839
staff careless,0.7120459805663765
depressing,0.7118208930510888
waste money,0.7098730086175514
slow,0.7050099632702116
not_meet expectations,0.7043613724623976
room dull,0.7037247593539786
staff rude,0.7035438771165382
food,0.7005996723689806
facilities broken,0.690360397327773
disappeared check,0.6869585983296578
moody,0.6864605550652476
slow work,0.6852132382458203
bed hard,0.68201368036983
small family,0.6797165079799485
worst stay,0.6791552568858974
staff ignored,0.6776779246557766
not_convenient,0.6764074704476638
sleep,0.6717594626238728
unprofessional,0.6699977705520417
mess,0.668841316818359
know,0.6687503855765968
didn know,0.6687503855765968
charge extra,0.666292316564469
charge,0.666292316564469
