2	Absolutely loved my stay here, everything was perfect!
0	Horrible experience, nothing worked as expected.
1	The stay was fine, not too bad but not great.
2	The host was super kind and helpful
0	The host didn’t respond at all, terrible communication.
1	The host was okay, just did their job.
2	Room was spotless, smelled amazing!
0	Room was dirty, smelled terrible
1	Room was okay, a bit dusty.
2	Excellent service, staff were friendly and polite.
0	Bad service, rude staff and poor attitude.
1	Service was acceptable, nothing special.
2	Perfect location near shops and restaurants.
0	Too far from everything, not convenient.
1	Location was fine, not the best but manageable.
2	Breakfast was delicious and hot.
0	Breakfast cold and tasteless.
1	Breakfast okay, just average.
2	Wi-Fi super fast, no issues at all.
0	Wi-Fi kept disconnecting, very annoying.
1	Wi-Fi speed okay, a bit slow.
2	Room bright and beautifully decorated
0	Room dark and unpleasant.
1	Lighting okay, normal brightness.
2	Host offered us free drinks and snacks!
0	Host tried to overcharge us.
1	Host provided the basics, nothing more.
2	Very peaceful area, slept so well.
0	Noisy neighborhood, couldn’t rest.
1	Area quiet sometimes, fine overall.
2	Loved everything about this place ❤
0	Hated it, will never come again.
1	Stay was fine, just okay.
2	Bed soft and super comfy.
0	Bed hard and dirty.
1	Bed was okay, not bad.
2	Check-in was quick and easy.
0	Check-in took too long, confusing process.
1	Check-in was fine, nothing to mention.
2	Friendly staff, great attitude.
0	Staff unhelpful and unfriendly.
1	Staff okay, nothing special.
2	Room smelled fresh and looked new.
0	Room smelled bad, dirty carpet.
1	Smell okay, not bad.
2	Everything worked perfectly, no problems.
0	Many things broken, very frustrating.
1	Everything functioned normally.
2	Host was polite and cheerful.
0	Host rude and moody.
1	Host neutral, short answers.
2	Room matched the photos online.
0	Room totally different from pictures.
1	Room similar, a bit smaller.
2	Good value for money, worth it!
0	Overpriced, not worth the cost.
1	Price matched the service level.
2	Everything exceeded my expectations
0	Didn’t meet expectations at all.
1	Experience was average overall.
2	Beautiful view from the window.
0	No view, just walls.
1	View was fine, nothing special.
2	Everything clean and tidy.
0	Room messy and dirty.
1	Room clean enough, okay.
2	Host kind and responsive.
0	Host didn’t care, ignored us.
1	Host replied, but took time.
2	Everything about this place was amazing.
0	Everything went wrong from the start.
1	Everything went as expected.
2	Good breakfast, loved the coffee ☕
0	Bad coffee, old food.
1	Breakfast fine, basic options.
2	Host super friendly, helped a lot.
0	Host lazy, not helpful at all.
1	Host neutral, average behavior.
2	Perfect for business trips.
0	Not good for work, too loud.
1	Fine for one night stay.
2	Everything was organized and clean.
0	Everything was messy, no order.
1	Okay setup, basic furniture.
2	Host gave us great local tips.
0	Host gave wrong information.
1	Host shared minimal details.
2	Peaceful vibe, very relaxing
0	Stressful experience, couldn’t rest.
1	Calm place, not much happening.
2	Good lighting, cozy atmosphere.
0	Bad lighting, too dark.
1	Lighting was average.
2	Host so nice, easy to talk to.
0	Host cold and unkind.
1	Host professional, but quiet.
2	Would totally recommend this place!
0	Wouldn’t recommend to anyone.
1	Maybe recommend for short stays.
2	Very comfortable stay, slept great.
0	Couldn’t sleep at all, noisy.
1	Sleep okay, not perfect.
2	Room cozy, felt like home.
0	Room uncomfortable, weird smell.
1	Room acceptable, nothing fancy.
2	Fantastic location, close to everything.
0	Bad location, far away.
1	Location okay, manageable distance.
2	Host polite, spoke good English.
0	Host couldn’t communicate at all.
1	Host spoke little English, fine.
2	Everything was perfect, loved it!
0	Everything terrible, hated it.
1	Everything fine, no issues.
2	Good facilities, everything worked.
0	Broken AC and TV.
1	Facilities okay, usable.
2	Quiet and clean, perfect combo.
0	Noisy and dirty, awful stay.
1	Some noise, but tolerable.
2	Room looked brand new.
0	Room old and outdated.
1	Room condition okay.
2	Excellent host, went above and beyond.
0	Host didn’t help, very cold.
1	Host did what was required.
2	Good stay overall :)
0	Bad stay overall :(
1	Average stay, nothing memorable.
2	Host very kind, gave us tea
0	Host ignored us completely.
1	Host responded slowly.
2	Beautiful decor, loved the colors.
0	No decoration, boring room.
1	Simple decor, fine for price.
2	Perfect for families, very spacious.
0	Too small for a family.
1	Fine for two adults.
2	Everything top-notch, five stars!
